record_id,pmid,title,year,journal,doi,url,human_title_abstract_decision,narrowed_screening_decision,narrowed_screening_reason,narrowed_notes,evidence_role,evidence_role_suggested,evidence_role_suggestion_confidence,timeline_scope_tier,relevance_score
REC00003,41758525,Medicaid Continuous Coverage Requirement and Postpartum Hospitalization.,2026,JAMA health forum,10.1001/jamahealthforum.2025.6872,https://pubmed.ncbi.nlm.nih.gov/41758525/,include_for_full_text,retain_for_full_text,access_or_continuity_outcome,2018–2021 HCUP State Inpatient Databases from 20 states; evaluates FFCRA Medicaid continuous coverage requirement beginning in 2020,post_2021_policy_implementation_evidence,post_2021_policy_implementation_evidence,medium,tier_2_possible_match,9
REC00014,38437599,COVID-19 Medicaid Continuous Enrollment Provision Yielded Gains In Postpartum Continuity Of Coverage.,2024,Health affairs (Project Hope),10.1377/hlthaff.2023.00580,https://pubmed.ncbi.nlm.nih.gov/38437599/,include_for_full_text,retain_for_full_text,access_or_continuity_outcome,"2018 and 2020 T-MSIS Medicaid enrollment data; evaluates FFCRA continuous enrollment during 2020, but does not include post-2021 data",pre_2021_baseline_problem_evidence,post_2021_policy_implementation_evidence,high,tier_1_strong_match,7
REC00018,35508289,Postpartum Medicaid enrollment and churn in North Carolina.,2022,American journal of obstetrics & gynecology MFM,10.1016/j.ajogmf.2022.100656,https://pubmed.ncbi.nlm.nih.gov/35508289/,include_for_full_text,retain_for_full_text,access_or_continuity_outcome,2016–2019 North Carolina Medicaid enrollment data,pre_2021_baseline_problem_evidence,pre_2021_baseline_problem_evidence,medium,tier_2_possible_match,3
REC00020,38457131,"Continuous Medicaid Eligibility During the COVID-19 Pandemic and Postpartum Coverage, Health Care, and Outcomes.",2024,JAMA health forum,10.1001/jamahealthforum.2024.0004,https://pubmed.ncbi.nlm.nih.gov/38457131/,include_for_full_text,retain_for_full_text,access_or_continuity_outcome,2017–2021 PRAMS data from 21 states; compares prepolicy 2017–2019 with FFCRA/PHE postpolicy 2020–2021,post_2021_policy_implementation_evidence,post_2021_policy_implementation_evidence,high,tier_2_possible_match,10
REC00030,42259716,Rural-Urban Differences in Coverage Gains Under Continuous Postpartum Medicaid Eligibility.,2026,Women's health issues : official publication of the Jacobs Institute of Women's Health,10.1016/j.whi.2026.04.004,https://pubmed.ncbi.nlm.nih.gov/42259716/,include_for_full_text,retain_for_full_text,access_or_continuity_outcome,2017–2022 ACS data; evaluates COVID-19 PHE continuous postpartum Medicaid eligibility with post-2021 data,post_2021_policy_implementation_evidence,post_2021_policy_implementation_evidence,high,tier_2_possible_match,9
REC00032,41833544,Extended Pregnancy Medicaid During COVID-19 and Enrollment and Health Care Use in the Postpartum Year.,2026,The Milbank quarterly,10.1111/1468-0009.70079,https://pubmed.ncbi.nlm.nih.gov/41833544/,include_for_full_text,retain_for_full_text,access_or_continuity_outcome,2019–2022 Medicaid claims data from 15 states; includes FFCRA COVID-era continuous coverage period,post_2021_policy_implementation_evidence,post_2021_policy_implementation_evidence,medium,tier_1_strong_match,12
REC00033,34982627,Extended Postpartum Medicaid Eligibility Is Associated With Improved Continuity Of Coverage In The Postpartum Year.,2022,Health affairs (Project Hope),10.1377/hlthaff.2021.00730,https://pubmed.ncbi.nlm.nih.gov/34982627/,include_for_full_text,retain_for_full_text,access_or_continuity_outcome,"2014–2019 Colorado linked birth records, income, and all-payer claims data; includes 2015+ data but no post-2021 implementation data ",pre_2021_baseline_problem_evidence,post_2021_policy_implementation_evidence,medium,tier_1_strong_match,8
REC00035,37406233,Late Postpartum Coverage Loss Before COVID-19: Implications For Medicaid Unwinding.,2023,Health affairs (Project Hope),10.1377/hlthaff.2022.01659,https://pubmed.ncbi.nlm.nih.gov/37406233/,include_for_full_text,retain_for_full_text,access_or_continuity_outcome,2016–2019 PRAMS follow-up data; pre-COVID/pre-FFCRA baseline evidence,pre_2021_baseline_problem_evidence,post_2021_policy_implementation_evidence,high,tier_2_possible_match,6
REC00040,38568923,Not all Medicaid for pregnancy care is delivered equally.,2024,PloS one,10.1371/journal.pone.0299818,https://pubmed.ncbi.nlm.nih.gov/38568923/,include_for_full_text,retain_for_full_text,access_or_continuity_outcome, 2014–2019 Oregon and South Carolina Medicaid claims linked with birth certificate data; includes 2015+ data but no post-2021 implementation data,pre_2021_baseline_problem_evidence,post_2021_policy_implementation_evidence,medium,tier_1_strong_match,9
REC00041,35977176,Factors Associated With Postpartum Uninsurance Among Medicaid-Paid Births.,2021,JAMA health forum,10.1001/jamahealthforum.2021.1054,https://pubmed.ncbi.nlm.nih.gov/35977176/,include_for_full_text,retain_for_full_text,access_or_continuity_outcome,2015–2018 PRAMS data; includes 2015+ data but no post-2021 implementation data,pre_2021_baseline_problem_evidence,post_2021_policy_implementation_evidence,high,tier_1_strong_match,8
REC00042,37931190,The Health And Social Needs Of Medicaid Beneficiaries In The Postpartum Year: Evidence From A Multistate Survey.,2023,Health affairs (Project Hope),10.1377/hlthaff.2023.00541,https://pubmed.ncbi.nlm.nih.gov/37931190/,include_for_full_text,retain_for_full_text,,January 2021–March 2022 multistate postpartum survey data; post-2021 data,post_2021_policy_implementation_evidence,post_2021_policy_implementation_evidence,high,tier_1_strong_match,7
REC00053,37940901,Health insurance coverage and poverty status of postpartum women in the United States in 2019: an ACS-PUMS population-based cross-sectional study.,2023,BMC public health,10.1186/s12889-023-17087-4,https://pubmed.ncbi.nlm.nih.gov/37940901/,include_for_full_text,retain_for_full_text,access_or_continuity_outcome,,pre_2021_baseline_problem_evidence,pre_2021_baseline_problem_evidence,medium,tier_1_strong_match,5
REC00063,41001595,Association of Insurance Changes With Postpartum Prescription Contraception Uptake.,2024,O&G open,10.1097/og9.0000000000000047,https://pubmed.ncbi.nlm.nih.gov/41001595/,include_for_full_text,retain_for_full_text,access_or_continuity_outcome,2012–2020 PRAMS data; includes 2015+ eligible data,pre_2021_baseline_problem_evidence,pre_2021_baseline_problem_evidence,high,tier_2_possible_match,10
REC00069,40922871,Severe Postpartum Maternal Morbidity: How Medicaid Coverage for 365 Days Can Make a Difference.,2025,Cureus,10.7759/cureus.89561,https://pubmed.ncbi.nlm.nih.gov/40922871/,include_for_full_text,retain_for_full_text,access_or_continuity_outcome,2014–2023 Medicaid/insurer claims and eligibility data; includes 2015+ and post-2021 data,post_2021_policy_implementation_evidence,post_2021_policy_implementation_evidence,high,tier_1_strong_match,11
REC00073,38233252,Changes in postpartum insurance and care use by disability status during the COVID-19 pandemic.,2024,Disability and health journal,10.1016/j.dhjo.2024.101581,https://pubmed.ncbi.nlm.nih.gov/38233252/,include_for_full_text,retain_for_full_text,access_or_continuity_outcome,2019–2020 PRAMS data with Disability Supplement; evaluates COVID-19 PHE Medicaid provisions,post_2021_policy_implementation_evidence,post_2021_policy_implementation_evidence,medium,tier_2_possible_match,7
REC00078,39110334,"Postpartum Insurance Loss: Predicting Factors, Associations with Postpartum Health Service Utilization, and the Role of Medicaid Expansion.",2024,Maternal and child health journal,10.1007/s10995-024-03979-3,https://pubmed.ncbi.nlm.nih.gov/39110334/,include_for_full_text,retain_for_full_text,access_or_continuity_outcome,,pre_2021_baseline_problem_evidence,pre_2021_baseline_problem_evidence,high,tier_2_possible_match,9
REC00080,33431389,Pregnancy Medicaid Improvements in a Nonexpansion State After the Affordable Care Act.,2021,Annals of family medicine,10.1370/afm.2615,https://pubmed.ncbi.nlm.nih.gov/33431389/,include_for_full_text,retain_for_full_text,access_or_continuity_outcome,2011–2017 North Carolina Medicaid claims and vital statistics data; includes 2015+ data but no post-2021 implementation data,pre_2021_baseline_problem_evidence,post_2021_policy_implementation_evidence,low,tier_2_possible_match,8
REC00089,40135503,Association of COVID-19 Continuous Enrollment With Self-Reported Postpartum Medicaid Continuity and Coverage Inequities.,2025,Health services research,10.1111/1475-6773.14618,https://pubmed.ncbi.nlm.nih.gov/40135503/,include_for_full_text,retain_for_full_text,access_or_continuity_outcome,2018–2021 PRAMS data from 29 jurisdictions; evaluates FFCRA extended postpartum Medicaid eligibilit,post_2021_policy_implementation_evidence,post_2021_policy_implementation_evidence,high,tier_2_possible_match,8
REC00103,37951662,"Association of Medicaid Expansion Under the Affordable Care Act With Medicaid Coverage in the Prepregnancy, Prenatal, and Postpartum Periods.",2023,Women's health issues : official publication of the Jacobs Institute of Women's Health,10.1016/j.whi.2023.08.002,https://pubmed.ncbi.nlm.nih.gov/37951662/,include_for_full_text,retain_for_full_text,access_or_continuity_outcome," uses 2011–2013 MAX and 2016–2018 T-MSIS Medicaid data to evaluate the association of ACA Medicaid expansion with Medicaid coverage before, during, and after pregnancy",pre_2021_baseline_problem_evidence,post_2021_policy_implementation_evidence,low,tier_1_strong_match,6
REC00106,42213013,Association of Continuous Medicaid Eligibility With Postpartum Coverage and Opioid Use Disorder Treatment.,2026,American journal of preventive medicine,10.1016/j.amepre.2026.108392,https://pubmed.ncbi.nlm.nih.gov/42213013/,include_for_full_text,retain_for_full_text,access_or_continuity_outcome, 2016–2022 delivery data; compares pre-FFCRA 2016–2019 with FFCRA period 2020–2022,post_2021_policy_implementation_evidence,post_2021_policy_implementation_evidence,medium,tier_1_strong_match,10
REC00108,41065258,Effects of Medicaid Coverage on Work: Evidence From Extending Postpartum Medicaid Coverage.,2026,Health services research,10.1111/1475-6773.70055,https://pubmed.ncbi.nlm.nih.gov/41065258/,include_for_full_text,retain_for_full_text,access_or_continuity_outcome,2016–2022 ACS data; evaluates FFCRA-related postpartum Medicaid coverage extension beyond 60 days ,post_2021_policy_implementation_evidence,post_2021_policy_implementation_evidence,high,tier_1_strong_match,7
REC00112,40014829,"Immigrant Inequities in Uninsurance and Postpartum Medicaid Extension: A Quasi-Experimental Study in New York City, 2016-2021.",2025,American journal of public health,10.2105/AJPH.2024.307968,https://pubmed.ncbi.nlm.nih.gov/40014829/,include_for_full_text,retain_for_full_text,access_or_continuity_outcome,2016–2021 NYC PRAMS data; compares pre-FFCRA 2016–2019 with FFCRA implementation period 2020–2021,post_2021_policy_implementation_evidence,post_2021_policy_implementation_evidence,high,tier_1_strong_match,8
REC00118,32897793,Medicaid Expansion Improved Perinatal Insurance Continuity For Low-Income Women.,2020,Health affairs (Project Hope),10.1377/hlthaff.2019.01835,https://pubmed.ncbi.nlm.nih.gov/32897793/,include_for_full_text,retain_for_full_text,access_or_continuity_outcome,,pre_2021_baseline_problem_evidence,pre_2021_baseline_problem_evidence,medium,tier_2_possible_match,8
REC00120,39147363,Impact of 12-month Medicaid extension on postpartum contraception use in South Carolina.,2024,American journal of obstetrics & gynecology MFM,10.1016/j.ajogmf.2024.101467,https://pubmed.ncbi.nlm.nih.gov/39147363/,include_for_full_text,retain_for_full_text,directly_about_12_month_postpartum_medicaid_extension," South Carolina Medicaid claims and birth certificate data, Jan. 1, 2019–May 31, 2021; prepolicy Jan. 1, 2019–Feb. 28, 2020; postpolicy Apr. 1, 2020–May 31, 2021",service_specific_medicaid_access_policy,post_2021_policy_implementation_evidence,low,tier_1_strong_match,3
REC00125,30981843,Implementing best practices for the provision of long-acting reversible contraception: a survey of obstetrician-gynecologists.,2019,Contraception,10.1016/j.contraception.2019.03.053,https://pubmed.ncbi.nlm.nih.gov/30981843/,include_for_full_text,retain_for_full_text,,2016–2017 data to examine ob-gyn provision of same-day and immediate postpartum LARC,pre_2021_baseline_problem_evidence,pre_2021_baseline_problem_evidence,low,tier_2_possible_match,6
REC00135,41204715,Postpartum Medicaid Coverage Expansion and Changes in the Risk of Health Insurance Loss Within the Second Year After Birth.,2026,Population health management,10.1177/19427891251393727,https://pubmed.ncbi.nlm.nih.gov/41204715/,include_for_full_text,retain_for_full_text,access_or_continuity_outcome,,post_2021_policy_implementation_evidence,pre_2021_baseline_problem_evidence,high,tier_1_strong_match,5
REC00144,39834080,"""Where There's a Will There's a Way"": The Impact of State Variations in the Implementation of Continuous Coverage on Access to Postpartum Care During the Pandemic Emergency.",2025,Health services research,10.1111/1475-6773.14435,https://pubmed.ncbi.nlm.nih.gov/39834080/,include_for_full_text,retain_for_full_text,access_or_continuity_outcome,Qualitative interviews conducted September 2022–March 2024; includes Medicaid unwinding and postpartum extension implementation context,post_2021_policy_implementation_evidence,post_2021_policy_implementation_evidence,high,tier_1_strong_match,8
REC00149,39402851,"Effects of the continuous Medicaid coverage provision of the family first coronavirus response act on postpartum Medicaid coverage, depression symptoms, and birth control use.",2025,Health services research,10.1111/1475-6773.14395,https://pubmed.ncbi.nlm.nih.gov/39402851/,include_for_full_text,retain_for_full_text,access_or_continuity_outcome,2016–2021 PRAMS data; evaluates FFCRA continuous Medicaid coverage provision,post_2021_policy_implementation_evidence,post_2021_policy_implementation_evidence,medium,tier_2_possible_match,7
REC00152,33108960,"The Affordable Care Act and Changes in Women's Health Insurance Coverage Before, During, and After Pregnancy in California.",2021,"Public health reports (Washington, D.C. : 1974)",10.1177/0033354920962798,https://pubmed.ncbi.nlm.nih.gov/33108960/,include_for_full_text,retain_for_full_text,,2011–2017 California Maternal and Infant Health Assessment survey data; includes 2015+ data but no post-2021 implementation data,pre_2021_baseline_problem_evidence,post_2021_policy_implementation_evidence,low,tier_2_possible_match,6
REC00166,41698447,Racial Inequities in Postpartum Coverage During Medicaid Continuous Coverage: Evidence From Affordable Care Act Expansion Versus Nonexpansion States.,2026,American journal of preventive medicine,10.1016/j.amepre.2026.108320,https://pubmed.ncbi.nlm.nih.gov/41698447/,include_for_full_text,retain_for_full_text,access_or_continuity_outcome, study uses 2016–2023 ACS data,post_2021_policy_implementation_evidence,post_2021_policy_implementation_evidence,medium,tier_1_strong_match,11
REC00182,41873952,Postpartum Insurance Rates Among Citizens Versus Noncitizens During the COVID-19 Public Health Emergency.,2026,Health services research,10.1111/1475-6773.70105,https://pubmed.ncbi.nlm.nih.gov/41873952/,include_for_full_text,retain_for_full_text,access_or_continuity_outcome,2016–2022 ACS data; evaluates Medicaid continuous coverage provision during COVID-19 PHE with 2021–2022 postpolicy years,post_2021_policy_implementation_evidence,post_2021_policy_implementation_evidence,high,tier_2_possible_match,7
REC00190,42153920,Improving perinatal oral health care access: Consumer suggestions for change.,2026,Journal of the American Dental Association (1939),10.1016/j.adaj.2026.03.005,https://pubmed.ncbi.nlm.nih.gov/42153920/,include_for_full_text,retain_for_full_text,equity_or_disparity_relevance,Post-2022 North Carolina qualitative interviews with Medicaid for Pregnant Women beneficiaries; policy change expanded oral health coverage to 12 months postpartum,service_specific_medicaid_access_policy,post_2021_policy_implementation_evidence,low,tier_1_strong_match,6
